序号,sector,行业指数,pct_change,inflow,outflow,main_net_inflow,stock_count,top_stock,top_stock_pct,当前价,main_net_inflow_pct,fetch_time,date
1,影视院线,1501.64,1.77,2659000000.0,2381000000.0,278000000.0,20,百纳千成,20.04,6.71,,2026-05-27 13:23:25,2026-05-27
2,白酒,2200.81,1.29,5442000000.0,5748000000.0,-307000000.0,20,水井坊,10.02,33.94,,2026-05-27 13:23:25,2026-05-27
3,电力,2254.88,1.16,24328000000.0,21162000000.0,3166000000.0,109,粤电力A,10.04,7.34,,2026-05-27 13:23:25,2026-05-27
4,其他电源设备,7529.84,0.59,8833000000.0,8456000000.0,377000000.0,33,通合科技,16.0,32.48,,2026-05-27 13:23:25,2026-05-27
5,煤炭开采加工,2845.49,0.55,3429999999.9999995,3197000000.0,233000000.0,34,华电能源,9.99,8.37,,2026-05-27 13:23:25,2026-05-27
6,半导体,18256.5,0.25,173596000000.0,168757000000.0,4839000000.0,179,创达新材,24.94,84.56,,2026-05-27 13:23:25,2026-05-27
7,其他电子,24034.3,0.15,9909000000.0,10443000000.0,-534000000.0,34,旭光电子,10.0,24.76,,2026-05-27 13:23:25,2026-05-27
8,电网设备,7578.32,-0.27,16794000000.0,16457000000.0,337000000.0,139,安靠智电,10.73,68.51,,2026-05-27 13:23:25,2026-05-27
9,光伏设备,9330.1,-0.38,20772000000.0,22729000000.0,-1957000000.0,73,帝尔激光,11.02,172.64,,2026-05-27 13:23:25,2026-05-27
10,互联网电商,9134.14,-0.64,1210000000.0,1534000000.0,-325000000.0,19,ST易购,5.17,1.22,,2026-05-27 13:23:25,2026-05-27
11,银行,1273.93,-0.65,5660000000.0,7220999999.999999,-1561000000.0,84,浦发银行,1.94,9.45,,2026-05-27 13:23:25,2026-05-27
12,饮料制造,4976.67,-0.77,1546000000.0,1841000000.0,-295000000.0,46,佳禾食品,9.99,10.9,,2026-05-27 13:23:25,2026-05-27
13,证券,1428.87,-0.8,6945000000.0,9953000000.0,-3008000000.0,50,财达证券,1.87,6.53,,2026-05-27 13:23:25,2026-05-27
14,电池,22349.1,-0.99,29880000000.0,29989999999.999996,-110000000.00000001,105,德新科技,10.01,25.17,,2026-05-27 13:23:25,2026-05-27
15,食品加工制造,4846.65,-1.07,1935000000.0000002,2434000000.0,-499000000.0,66,朱老六,7.58,18.17,,2026-05-27 13:23:25,2026-05-27
16,光学光电子,6191.67,-1.1,32177000000.0,35711000000.0,-3534000000.0000005,107,恒太照明,18.95,11.74,,2026-05-27 13:23:25,2026-05-27
17,燃气,1965.46,-1.19,1174000000.0,1507000000.0,-333000000.0,27,美能能源,10.02,13.07,,2026-05-27 13:23:25,2026-05-27
18,元件,25196.8,-1.25,50100000000.0,50417000000.0,-316000000.0,62,江海股份,10.01,67.6,,2026-05-27 13:23:25,2026-05-27
19,旅游及酒店,2845.31,-1.27,605000000.0,868000000.0,-263000000.0,35,张家界,3.98,7.58,,2026-05-27 13:23:25,2026-05-27
20,中药,3064.4,-1.28,1491000000.0,2165000000.0,-674000000.0,68,ST嘉应,4.96,3.81,,2026-05-27 13:23:25,2026-05-27
21,机场航运,1934.1,-1.28,780000000.0,1256000000.0,-476000000.0,13,吉祥航空,0.51,11.81,,2026-05-27 13:23:25,2026-05-27
22,零售,1885.16,-1.4,3745000000.0000005,5114000000.0,-1369000000.0,72,步步高,10.12,4.57,,2026-05-27 13:23:25,2026-05-27
23,文化传媒,2749.21,-1.42,6303000000.0,7376000000.000001,-1073000000.0,85,掌阅科技,10.0,25.85,,2026-05-27 13:23:25,2026-05-27
24,造纸,2279.09,-1.45,990000000.0,1052000000.0,-62000000.0,24,凯恩股份,10.03,9.65,,2026-05-27 13:23:25,2026-05-27
25,电子化学品,95496.6,-1.51,15915000000.0,18219000000.0,-2304000000.0,42,龙辰科技,405.75,46.58,,2026-05-27 13:23:25,2026-05-27
26,能源金属,39335.8,-1.55,5109000000.0,6109000000.0,-999000000.0,12,博迁新材,3.76,165.64,,2026-05-27 13:23:25,2026-05-27
27,金属新材料,16263.6,-1.56,3629000000.0,4024000000.0,-395000000.0,34,云路股份,7.35,122.35,,2026-05-27 13:23:25,2026-05-27
28,游戏,9479.24,-1.56,3027000000.0,3302000000.0000005,-274000000.0,24,凯撒文化,0.95,3.17,,2026-05-27 13:23:25,2026-05-27
29,美容护理,5045.99,-1.57,539000000.0,672000000.0,-133000000.0,33,百亚股份,5.24,15.88,,2026-05-27 13:23:25,2026-05-27
30,化学制药,6081.82,-1.73,5771000000.0,7265000000.000001,-1495000000.0,159,纳微科技,16.1,42.2,,2026-05-27 13:23:25,2026-05-27
31,通信设备,10290.6,-1.74,62671000000.0,59215000000.0,3456000000.0,91,长进光子,1317.91,581.06,,2026-05-27 13:23:25,2026-05-27
32,自动化设备,32809.9,-1.75,22160000000.0,25321000000.0,-3162000000.0,95,鸿仕达,15.59,214.99,,2026-05-27 13:23:25,2026-05-27
33,军工电子,13896.0,-1.94,8748000000.0,9288000000.0,-541000000.0,63,铖昌科技,6.12,152.2,,2026-05-27 13:23:25,2026-05-27
34,医药商业,4489.04,-1.96,493000000.0,821000000.0000001,-327000000.0,32,老百姓,1.23,12.34,,2026-05-27 13:23:25,2026-05-27
35,风电设备,5420.2,-1.98,3803000000.0,5089000000.0,-1286000000.0,32,禾望电气,5.19,64.07,,2026-05-27 13:23:25,2026-05-27
36,公路铁路运输,1345.5,-2.01,796000000.0,1400000000.0,-604000000.0,32,山东高速,0.59,11.89,,2026-05-27 13:23:25,2026-05-27
37,养殖业,2752.31,-2.01,1001000000.0,1603000000.0,-601000000.0,36,晓鸣股份,7.62,17.8,,2026-05-27 13:23:25,2026-05-27
38,环境治理,4377.09,-2.01,3472999999.9999995,4433000000.0,-960000000.0,112,朗坤科技,10.7,30.53,,2026-05-27 13:23:25,2026-05-27
39,综合,2324.23,-2.05,3124000000.0,2581000000.0,543000000.0,16,东阳光,6.2,39.08,,2026-05-27 13:23:25,2026-05-27
40,白色家电,8617.25,-2.07,4806000000.0,7654000000.000001,-2849000000.0,45,三星新材,8.9,16.77,,2026-05-27 13:23:25,2026-05-27
41,医疗服务,17024.4,-2.07,2885000000.0,3821000000.0,-936000000.0,56,百奥赛图,4.09,110.02,,2026-05-27 13:23:25,2026-05-27
42,贸易,2906.01,-2.11,368000000.0,590000000.0,-221000000.0,15,凯瑞德,10.06,8.53,,2026-05-27 13:23:25,2026-05-27
43,种植业与林业,4270.27,-2.12,802999999.9999999,1163000000.0,-360000000.0,30,*ST景谷,5.02,22.18,,2026-05-27 13:23:25,2026-05-27
44,农产品加工,3701.11,-2.18,706000000.0,999000000.0,-293000000.0,43,金龙鱼,2.8,27.15,,2026-05-27 13:23:25,2026-05-27
45,建筑装饰,4410.54,-2.2,6698999999.999999,9269000000.0,-2570000000.0,146,利柏特,10.01,17.47,,2026-05-27 13:23:25,2026-05-27
46,消费电子,13927.5,-2.22,34519000000.0,31589000000.0,2930000000.0,95,深科技,6.13,45.37,,2026-05-27 13:23:25,2026-05-27
47,保险,1890.84,-2.22,1599000000.0,3444000000.0,-1845000000.0,5,中国人寿,-1.63,33.25,,2026-05-27 13:23:25,2026-05-27
48,轨交设备,1070.06,-2.23,1097000000.0,1416000000.0,-318000000.0,30,时代电气,7.35,62.79,,2026-05-27 13:23:25,2026-05-27
49,汽车服务及其他,1091.26,-2.24,619000000.0,807000000.0,-187000000.0,25,华洋赛车,5.6,29.6,,2026-05-27 13:23:25,2026-05-27
50,港口航运,1203.4,-2.27,2224000000.0,3569000000.0,-1345000000.0,36,北部湾港,2.2,13.46,,2026-05-27 13:23:25,2026-05-27
51,其他社会服务,20672.9,-2.35,1751000000.0000002,2052000000.0,-302000000.0,82,联检科技,1.97,31.61,,2026-05-27 13:23:25,2026-05-27
52,医疗器械,11262.0,-2.35,4607000000.0,5688000000.0,-1082000000.0,139,艾德生物,9.01,20.08,,2026-05-27 13:23:25,2026-05-27
53,化学制品,7711.08,-2.38,9886000000.0,12480000000.0,-2595000000.0,176,和远气体,10.0,35.09,,2026-05-27 13:23:25,2026-05-27
54,计算机设备,4299.2,-2.39,8628000000.0,10712000000.0,-2082999999.9999998,83,声迅股份,7.6,58.87,,2026-05-27 13:23:25,2026-05-27
55,教育,4202.06,-2.4,326000000.0,569000000.0,-243000000.00000003,16,ST东时,2.85,3.61,,2026-05-27 13:23:25,2026-05-27
56,物流,5265.32,-2.46,889000000.0,1369000000.0,-480000000.0,50,密尔克卫,2.79,54.52,,2026-05-27 13:23:25,2026-05-27
57,生物制品,5913.54,-2.49,1761000000.0,2424000000.0,-663000000.0,54,欧林生物,1.3,37.53,,2026-05-27 13:23:25,2026-05-27
58,房地产,1774.43,-2.53,4757000000.0,6470999999.999999,-1714000000.0,87,阳光股份,10.0,4.18,,2026-05-27 13:23:25,2026-05-27
59,汽车整车,2905.89,-2.54,3102000000.0,4739000000.0,-1637000000.0,23,广汽集团,-0.32,6.19,,2026-05-27 13:23:25,2026-05-27
60,黑色家电,4645.85,-2.55,706000000.0,1030000000.0000001,-324000000.0,9,兆驰股份,-0.95,12.52,,2026-05-27 13:23:25,2026-05-27
61,军工装备,2385.0,-2.59,10188000000.0,12250000000.0,-2062000000.0,83,光启技术,5.61,41.81,,2026-05-27 13:23:25,2026-05-27
62,家居用品,4289.64,-2.62,2010000000.0000002,2377000000.0,-367000000.0,98,*ST联翔,5.01,38.18,,2026-05-27 13:23:25,2026-05-27
63,塑料制品,11610.5,-2.63,8118000000.000001,9583000000.0,-1465000000.0,79,银禧科技,8.45,14.37,,2026-05-27 13:23:25,2026-05-27
64,汽车零部件,6690.81,-2.65,16140000000.0,20715000000.0,-4575000000.0,270,迪生力,10.07,7.32,,2026-05-27 13:23:25,2026-05-27
65,专用设备,8068.98,-2.67,13786000000.000002,15694999999.999998,-1909000000.0,199,南矿集团,9.99,23.22,,2026-05-27 13:23:25,2026-05-27
66,纺织制造,2343.95,-2.67,823000000.0,1009000000.0,-186000000.0,33,迎丰股份,10.02,14.82,,2026-05-27 13:23:25,2026-05-27
67,包装印刷,4694.48,-2.7,1937000000.0,2468000000.0,-530999999.99999994,46,王子新材,6.26,14.94,,2026-05-27 13:23:25,2026-05-27
68,钢铁,1623.72,-2.74,1729000000.0,3342000000.0,-1613000000.0,44,方大炭素,1.17,5.19,,2026-05-27 13:23:25,2026-05-27
69,小金属,9427.98,-2.76,10643000000.0,14682000000.0,-4039000000.0,29,盛龙股份,9.99,28.41,,2026-05-27 13:23:25,2026-05-27
70,建筑材料,6039.34,-2.78,6041000000.0,7991000000.0,-1950000000.0,73,法狮龙,4.38,100.04,,2026-05-27 13:23:25,2026-05-27
71,工程机械,3331.19,-2.81,2002000000.0,2849000000.0,-846000000.0000001,36,海伦哲,1.78,20.04,,2026-05-27 13:23:25,2026-05-27
72,厨卫电器,6061.23,-2.83,77000000.0,146000000.0,-69000000.0,9,*ST帅电,1.41,16.5,,2026-05-27 13:23:25,2026-05-27
73,多元金融,1149.58,-2.87,1014000000.0,1817000000.0000002,-802999999.9999999,26,仁东控股,0.09,11.31,,2026-05-27 13:23:25,2026-05-27
74,非金属材料,33688.4,-2.92,2287000000.0,2964000000.0,-677000000.0,14,三祥新材,10.0,64.13,,2026-05-27 13:23:25,2026-05-27
75,软件开发,2067.34,-2.95,11512000000.0,13833000000.000002,-2321000000.0,139,友车科技,3.53,40.51,,2026-05-27 13:23:25,2026-05-27
76,小家电,4420.41,-2.96,615000000.0,848000000.0,-233000000.0,25,利仁科技,1.33,74.4,,2026-05-27 13:23:25,2026-05-27
77,服装家纺,3031.11,-2.99,1544000000.0,2141000000.0,-597000000.0,75,探路者,2.24,15.05,,2026-05-27 13:23:25,2026-05-27
78,橡胶制品,14886.4,-3.01,718000000.0,1039000000.0,-322000000.0,22,科创新源,0.09,91.06,,2026-05-27 13:23:25,2026-05-27
79,农化制品,4997.21,-3.02,2682000000.0,4352000000.0,-1670000000.0,61,川恒股份,0.8,33.98,,2026-05-27 13:23:25,2026-05-27
80,通用设备,9891.12,-3.03,21395000000.0,25520000000.0,-4125000000.0,251,新天科技,9.79,7.18,,2026-05-27 13:23:25,2026-05-27
81,化学原料,3295.6,-3.18,3744000000.0,5533000000.0,-1788000000.0,59,红星发展,2.02,30.38,,2026-05-27 13:23:25,2026-05-27
82,化学纤维,3896.34,-3.22,1224000000.0,1688000000.0,-463999999.99999994,29,宝丽迪,5.34,69.46,,2026-05-27 13:23:25,2026-05-27
83,石油加工贸易,3769.56,-3.29,1420000000.0,2438000000.0,-1018000000.0,27,统一股份,-0.39,17.8,,2026-05-27 13:23:25,2026-05-27
84,IT服务,13385.9,-3.33,10654000000.0,15622999999.999998,-4969000000.0,130,真视通,10.01,16.49,,2026-05-27 13:23:25,2026-05-27
85,环保设备,1505.3,-3.37,1185000000.0,1735000000.0000002,-550000000.0,29,*ST仕净,0.48,12.55,,2026-05-27 13:23:25,2026-05-27
86,油气开采及服务,1647.65,-3.41,1253000000.0,1886000000.0,-633000000.0,19,ST洲际,3.29,2.51,,2026-05-27 13:23:25,2026-05-27
87,工业金属,4663.52,-3.44,9964000000.0,15016999999.999998,-5053000000.0,56,新疆众和,3.11,11.62,,2026-05-27 13:23:25,2026-05-27
88,通信服务,3080.32,-3.74,5240000000.0,7833000000.0,-2593000000.0,45,*ST元道,1.54,5.26,,2026-05-27 13:23:25,2026-05-27
89,电机,4093.98,-3.97,2871000000.0,3929999999.9999995,-1058000000.0,26,华阳智能,1.12,87.36,,2026-05-27 13:23:25,2026-05-27
90,贵金属,5336.02,-5.14,4538000000.0,7589000000.0,-3050000000.0,13,紫金矿业,-3.19,31.85,,2026-05-27 13:23:25,2026-05-27
